actor,movie
Dominique Sanda,Le matelot 512
Dominique Sanda,Dust of Empire
Dominique Sanda,Une Chambre en Ville
Dominique Sanda,L'indiscrétion
Dominique Sanda,Les ailes de la colombe
Dominique Sanda,Le roman du samedi
Dominique Sanda,Break of Day
Dominique Sanda,Cabo Blanco
Dominique Sanda,Le voyage en douce
Dominique Sanda,Le navire Night
Dominique Sanda,The Song of Roland
Dominique Sanda,Utopia
Dominique Sanda,Beyond Good and Evil
Dominique Sanda,Damnation Alley
Dominique Sanda,The Inheritance
Dominique Sanda,1900
Dominique Sanda,Le berceau de cristal
Dominique Sanda,Steppenwolf
Dominique Sanda,Conversation Piece
Dominique Sanda,The MacKintosh Man
Jean-Louis Trintignant,Antenne 2 Midi
Jean-Louis Trintignant,La vie de château
Jean-Louis Trintignant,Portrait
Jean-Louis Trintignant,A Portrait of Jean-Louis Trintignant
Jean-Louis Trintignant,Portrait de Jacques Dufilho
Jean-Louis Trintignant,Jeudi cinéma
Jean-Louis Trintignant,Les nouveaux rendez-vous
Jean-Louis Trintignant,Ciné regards
Jean-Louis Trintignant,Numéro un
Jean-Louis Trintignant,Guy Marchand
Jean-Louis Trintignant,Exclusif... Canada
Jean-Louis Trintignant,Les rendez-vous du dimanche
Jean-Louis Trintignant,Monsieur Cinéma
Jean-Louis Trintignant,Chili: Les arpilleras de la colère
Jean-Louis Trintignant,Spécial cinéma
Jean-Louis Trintignant,Le dernier des cinq
Jean-Louis Trintignant,Pour le cinéma
Jean-Louis Trintignant,New Reports from France
Jean-Louis Trintignant,Chroniques de France N° 96
Jean-Louis Trintignant,Midi Trente
Jean-Louis Trintignant,Grand écran
Jean-Louis Trintignant,Les Stars: Une étoile est née
Jean-Louis Trintignant,"Moi et les hommes de quarante ans, Mata Hari"
Jean-Louis Trintignant,"Jean Vilar, une belle vie"
Jean-Louis Trintignant,Apropos Film
Jean-Louis Trintignant,Samedi soir
Jean-Louis Trintignant,Télé dimanche
Jean-Louis Trintignant,Les dossiers de l'écran
Jean-Louis Trintignant,Les coulisses du cinéma
Jean-Louis Trintignant,"Western, Italian Style"
Jean-Louis Trintignant,Pour le plaisir
Jean-Louis Trintignant,Festivals 66 Cinéma 67
Jean-Louis Trintignant,Cinéma
Jean-Louis Trintignant,Une foule enfin réunie
Jean-Louis Trintignant,Le chemin de la mauvaise route
Jean-Louis Trintignant,Parisienne... Parisiennes
Jean-Louis Trintignant,École des vedettes
Jean-Louis Trintignant,Le fantôme de Laurent Terzieff
Jean-Louis Trintignant,Le temps des nababs
Jean-Louis Trintignant,Les audacieux
Jean-Louis Trintignant,"André Téchiné, cinéaste insoumis"
Jean-Louis Trintignant,"Un jour, un destin"
Jean-Louis Trintignant,"Catherine Deneuve, la discrète"
Jean-Louis Trintignant,"Jean Louis Trintignant, l'insaisissable"
Jean-Louis Trintignant,"Lino Ventura, les combats d'une vie"
Jean-Louis Trintignant,Le grand show
Jean-Louis Trintignant,Le Grand Show fête le Cinéma
Jean-Louis Trintignant,Personne
Jean-Louis Trintignant,Welcome to the Basement
Jean-Louis Trintignant,"Star Wars, Buster Keaton, Dinosaur"
Jean-Louis Trintignant,The Great Silence
Jean-Louis Trintignant,Compression
Jean-Louis Trintignant,Compression La Morte ha fatto l'uovo de Giulio Questi
Jean-Louis Trintignant,"Bardot, la méprise"
Jean-Louis Trintignant,"René Clément, témoin et poète"
Jean-Louis Trintignant,Close Up
Jean-Louis Trintignant,Mon Impossible I
Jean-Louis Trintignant,What War May Bring
Jean-Louis Trintignant,Empreintes
Jean-Louis Trintignant,"Nicole Garcia, des ombres à la lumière"
Jean-Louis Trintignant,Cinémas
Jean-Louis Trintignant,To Each His Own Cinema
Jean-Louis Trintignant,Personnel et confidentiel
Dominique Sanda,Story of a Love Story
Dominique Sanda,Night of the Flowers
Dominique Sanda,Without Apparent Motive
Dominique Sanda,The Garden of the Finzi-Continis
Dominique Sanda,First Love
Dominique Sanda,The Conformist
Dominique Sanda,A Gentle Woman
Dominique Sanda,Jules Supervielle
Dominique Sanda,Architecture in Israel
Dominique Sanda,"Un jour, un destin"
Dominique Sanda,Romy Schneider: Ange et démons
Dominique Sanda,Un siècle d'écrivains
Dominique Sanda,Alberto Moravia
Dominique Sanda,The World of Jacques Demy
Dominique Sanda,Fantastico 10
Dominique Sanda,La nuit des Césars
Dominique Sanda,14ème nuit des Césars
Dominique Sanda,12ème nuit des Césars
Dominique Sanda,5ème nuit des Césars
Dominique Sanda,1ère nuit des Césars
Dominique Sanda,Le divan
Dominique Sanda,Dominique Sanda
Dominique Sanda,Cinéma cinémas
Dominique Sanda,Sanda l'après-midi
Dominique Sanda,The Road to Bresson
Dominique Sanda,Les nouveaux rendez-vous
Dominique Sanda,Ciné regards
Dominique Sanda,The Making of Cabo Blanco
Dominique Sanda,Monsieur Cinéma
Dominique Sanda,Les rendez-vous du dimanche
Dominique Sanda,Pour le cinéma
Dominique Sanda,Dominique Sanda ou Le rêve éveillé
Dominique Sanda,Close Up
Dominique Sanda,Apropos Film
Dominique Sanda,Cannes 1976
Dominique Sanda,Bertolucci secondo il cinema
Dominique Sanda,Dim Dam Dom
Dominique Sanda,Paris en pantalon
Dominique Sanda,Mon Impossible II
Dominique Sanda,Gilles Jacob: CIitizen Cannes
Dominique Sanda,Qui est-ce?
Dominique Sanda,Mathieu Demy
Dominique Sanda,Saucy 70's Volume 2
Jean-Louis Trintignant,"Cannes, 60 ans d'histoires"
Jean-Louis Trintignant,The Western World of Ferdinando Baldi
Jean-Louis Trintignant,Legends of World Cinema
Jean-Louis Trintignant,Jean-Louis Trintignant
Jean-Louis Trintignant,Words in Progress
Jean-Louis Trintignant,Histoires de festival
Jean-Louis Trintignant,Mémoires pour Simone
Jean-Louis Trintignant,Ciné regards
Jean-Louis Trintignant,Happy New Year
Orso Maria Guerrini,Der Feind meines Feindes
Orso Maria Guerrini,post-production
Orso Maria Guerrini,Piove
Orso Maria Guerrini,post-production
Orso Maria Guerrini,Sin
Orso Maria Guerrini,Il crimine non va in pensione
Orso Maria Guerrini,Tiramisù
Orso Maria Guerrini,Lacrime di San Lorenzo
Orso Maria Guerrini,Il giorno della civetta
Orso Maria Guerrini,Rodolfo Valentino - La leggenda
Orso Maria Guerrini,Il tredicesimo apostolo: La rivelazione
Orso Maria Guerrini,Il pianto del demonio
Orso Maria Guerrini,Il commissario Rex
Orso Maria Guerrini,Il terzo uomo
Orso Maria Guerrini,La ragazza americana
Orso Maria Guerrini,La meravigliosa avventura di Antonio Franconi
Orso Maria Guerrini,Traiettorie Invisibili
Orso Maria Guerrini,Trappola d'autore
Orso Maria Guerrini,The Breath of the Soul
Orso Maria Guerrini,Taglia e cuci
Orso Maria Guerrini,Le sette note del diavolo
Orso Maria Guerrini,Rosa Roth
Orso Maria Guerrini,"Der Tag wird kommen, Teil 1"
Orso Maria Guerrini,Io e mamma
Orso Maria Guerrini,Il segreto di Arianna
Orso Maria Guerrini,Carabinieri
Orso Maria Guerrini,Senza Movente
Orso Maria Guerrini,Matrimoni
Orso Maria Guerrini,Callas e Onassis
Orso Maria Guerrini,Part 2
Orso Maria Guerrini,Part 1
Orso Maria Guerrini,Amanti e segreti 2
Orso Maria Guerrini,Vera - Die Frau des Sizilianers
Orso Maria Guerrini,Countdown
Orso Maria Guerrini,Amanti e segreti
Orso Maria Guerrini,Un caso di coscienza
Orso Maria Guerrini,La quarta parete
Orso Maria Guerrini,Le lumache di Bebe
Orso Maria Guerrini,Black out
Orso Maria Guerrini,Come un ferro da stiro
Orso Maria Guerrini,Incidente premeditato
Orso Maria Guerrini,Show all 6 episodes
Orso Maria Guerrini,Maria Goretti
Orso Maria Guerrini,Das Geheimnis des Lebens
Orso Maria Guerrini,The Bourne Identity
Orso Maria Guerrini,Outsider
Orso Maria Guerrini,Stiamo bene insieme
Orso Maria Guerrini,Gli angeli dell'isola verde
Orso Maria Guerrini,Lo strano caso del signor Kappa
Orso Maria Guerrini,Antonia - Zwischen Liebe und Macht
Orso Maria Guerrini,Inviati speciali
Orso Maria Guerrini,Gioco a incastro
Orso Maria Guerrini,Sospetti
Orso Maria Guerrini,Alex l'ariete
Orso Maria Guerrini,Der Kapitän
Orso Maria Guerrini,Das Geheimnis der Viking
Orso Maria Guerrini,Annarè
Orso Maria Guerrini,Lui e lei
Orso Maria Guerrini,Un mondo lontano
Orso Maria Guerrini,In trappola
Orso Maria Guerrini,Nata per vincere
Orso Maria Guerrini,Cattivi maestri
Orso Maria Guerrini,La voce degli innocenti
Orso Maria Guerrini,Show all 8 episodes
Orso Maria Guerrini,Incantesimo
Orso Maria Guerrini,Show all 9 episodes
Orso Maria Guerrini,The Eighteenth Angel
Orso Maria Guerrini,Il deserto di fuoco
Orso Maria Guerrini,La villa dei misteri
Orso Maria Guerrini,Double Team
Orso Maria Guerrini,Ladri si nasce
Orso Maria Guerrini,L'ombre du pharaon
Orso Maria Guerrini,Memsaab
Orso Maria Guerrini,Una donna in fuga
Orso Maria Guerrini,Dans un grand vent de fleurs
Orso Maria Guerrini,Il maresciallo Rocca
Orso Maria Guerrini,L'amica del cuore
Orso Maria Guerrini,Morte di una strega
Orso Maria Guerrini,Slave of Dreams
Orso Maria Guerrini,Il barone
Orso Maria Guerrini,Vendetta
Orso Maria Guerrini,A rischio d'amore
Orso Maria Guerrini,First Action Hero
Orso Maria Guerrini,Black as the Heart
Orso Maria Guerrini,Il caso Dozier
Orso Maria Guerrini,Abraham
Orso Maria Guerrini,Part 1
Orso Maria Guerrini,Part 2
Orso Maria Guerrini,I ragazzi del muretto
Orso Maria Guerrini,Voglia di andare
Orso Maria Guerrini,Sospetti
Orso Maria Guerrini,Un orsacchiotto di nome Popi
Orso Maria Guerrini,Castelli in aria
Orso Maria Guerrini,Delitti imperfetti
Orso Maria Guerrini,L'Atlantide
Orso Maria Guerrini,La piovra
Orso Maria Guerrini,Show all 11 episodes
Orso Maria Guerrini,Alta società
Orso Maria Guerrini,Il coraggio di Anna
Orso Maria Guerrini,Edera
Orso Maria Guerrini,Show all 9 episodes
Orso Maria Guerrini,18 anni tra una settimana
Orso Maria Guerrini,Una verità come un'altra
Orso Maria Guerrini,Un siciliano in Sicilia
Orso Maria Guerrini,Attentato al Papa
Orso Maria Guerrini,Honor Thy Father
Orso Maria Guerrini,Il boss
Orso Maria Guerrini,Buio nella valle
Orso Maria Guerrini,La chambre des dames
Orso Maria Guerrini,L'amante dell'Orsa Maggiore
Orso Maria Guerrini,Show all 7 episodes
Orso Maria Guerrini,Inverno al mare
Orso Maria Guerrini,A Hard Nut to Crack
Orso Maria Guerrini,Bosco d'amore
Orso Maria Guerrini,Illa - Punto di osservazione
Orso Maria Guerrini,Desideria
Orso Maria Guerrini,Il gioco degli inganni
Orso Maria Guerrini,Operazione Rebecca
Orso Maria Guerrini,Racconti di fantascienza
Orso Maria Guerrini,La decima vittima
Orso Maria Guerrini,Primo contatto
Orso Maria Guerrini,Struggle Without End
Orso Maria Guerrini,Mazurka Di Fine Estate
Orso Maria Guerrini,La gatta
Orso Maria Guerrini,Il Fauno di marmo
Orso Maria Guerrini,Supermarina: Commissione d'inchiesta speciale SMG 507
Orso Maria Guerrini,Keoma
Orso Maria Guerrini,A Matter of Time
Orso Maria Guerrini,The Big Racket
Orso Maria Guerrini,The Tough Ones
Orso Maria Guerrini,Forever Emmanuelle
Orso Maria Guerrini,L'amico delle donne
Orso Maria Guerrini,Space: 1999
Orso Maria Guerrini,The Testament of Arkadia
Orso Maria Guerrini,Murat
Orso Maria Guerrini,L'uomo dei venti
Orso Maria Guerrini,Il giovane Garibaldi
Orso Maria Guerrini,L'assassinio dei fratelli Rosselli
Orso Maria Guerrini,Il bacio di una morta
Orso Maria Guerrini,The Jack London Story
Orso Maria Guerrini,Show all 8 episodes
Orso Maria Guerrini,"Girolimoni, the Monster of Rome"
Orso Maria Guerrini,Ipotesi sulla scomparsa di un fisico atomico
Orso Maria Guerrini,Marty
Orso Maria Guerrini,...e le stelle stanno a guardare
Orso Maria Guerrini,Show all 8 episodes
Orso Maria Guerrini,Requiem per un peso massimo
Orso Maria Guerrini,Waterloo
Orso Maria Guerrini,A Man Called Sledge
Orso Maria Guerrini,The Conformist
Orso Maria Guerrini,"Rosolino Paternò, soldato..."
Orso Maria Guerrini,Cuori solitari
Orso Maria Guerrini,I fratelli Karamazov
Orso Maria Guerrini,Quinta puntata
Orso Maria Guerrini,Quarta puntata
Orso Maria Guerrini,Terza puntata
Orso Maria Guerrini,The Tough and the Mighty
Orso Maria Guerrini,Eat It
Orso Maria Guerrini,Jekyll
Orso Maria Guerrini,Bandits in Rome
Orso Maria Guerrini,"Run, Man, Run"
Orso Maria Guerrini,Odissea
Orso Maria Guerrini,My Name Is Pecos
Orso Maria Guerrini,The Life of Leonardo Da Vinci
Orso Maria Guerrini,Quelli che... il calcio
Umberto Silvestri,The Conformist
Umberto Silvestri,Slave Queen of Babylon
Umberto Silvestri,Colossus of the Arena
Umberto Silvestri,Gladiator of Rome
Umberto Silvestri,Ben-Hur
Umberto Silvestri,Ulysses
Umberto Silvestri,"Theodora, Slave Empress"
Umberto Silvestri,Spartacus the Gladiator
Umberto Silvestri,The Queen of Sheba
Umberto Silvestri,"Tizio, Caio, Sempronio"
Umberto Silvestri,The Lion of Amalfi
Umberto Silvestri,La figlia del mendicante
Umberto Silvestri,Fabiola
Umberto Silvestri,Dove sta Zazà
Umberto Silvestri,Tutta la città canta
Umberto Silvestri,Harlem
Umberto Silvestri,La pantera nera
Umberto Silvestri,La corona di ferro
Carlo Gaddi,Brothers Till We Die
Carlo Gaddi,Violent Naples
Carlo Gaddi,The Tough Ones
Carlo Gaddi,Bianchi cavalli d'Agosto
Carlo Gaddi,Silent Action
Carlo Gaddi,Gambling City
Carlo Gaddi,Jo Gaillard
Carlo Gaddi,La peur
Carlo Gaddi,24 ore... non un minuto di più
Carlo Gaddi,The Beast
Carlo Gaddi,Il bacio di una morta
Carlo Gaddi,7 Hours of Violence
Carlo Gaddi,Counselor at Crime
Carlo Gaddi,Lady Dynamite
Carlo Gaddi,The Sicilian Connection
Carlo Gaddi,"My Horse, My Gun, Your Widow"
Carlo Gaddi,Crime Boss
Carlo Gaddi,God in Heaven... Arizona on Earth
Carlo Gaddi,Creeping Death
Carlo Gaddi,His Name Was Holy Ghost
Carlo Gaddi,White Sister
Carlo Gaddi,Trastevere
Carlo Gaddi,Sartana's Here... Trade Your Pistol for a Coffin
Carlo Gaddi,The Conformist
Carlo Gaddi,The Dove Must Not Fly
Carlo Gaddi,Django the Bastard
Carlo Gaddi,36 ore all'inferno
Carlo Gaddi,The Nephews of Zorro
Carlo Gaddi,Requiem for a Gringo
Carlo Gaddi,To Hell and Back
Carlo Gaddi,Beyond the Law
Carlo Gaddi,Pray to God and Dig Your Grave
Carlo Gaddi,"$100,000 for a Killing"
Carlo Gaddi,Pecos Cleans Up
Christian Aligny,Sex with a Smile
Christian Aligny,Arabian Nights
Christian Aligny,Permettete signora che ami vostra figlia?
Christian Aligny,Bawdy Tales
Christian Aligny,Teresa the Thief
Christian Aligny,Blaise Pascal
Christian Aligny,The Eroticist
Christian Aligny,In the Name of the Father
Christian Aligny,Scipio the African
Christian Aligny,Brancaleone at the Crusades
Christian Aligny,The Conformist
Christian Aligny,La rivoluzione sessuale
Christian Aligny,Be Sick... It's Free
Christian Aligny,I racconti del maresciallo
Christian Aligny,Il berretto di cuoio
Christian Aligny,Par quatre chemins
Furio Pellerani,"Adiós, Sabata"
Furio Pellerani,Churchill's Leopards
Furio Pellerani,The Conformist
Furio Pellerani,Mister Zehn Prozent - Miezen und Moneten
Furio Pellerani,The Million Dollar Countdown
Furio Pellerani,Rojo
Furio Pellerani,How to Rob the Bank of Italy
Giuseppe Addobbati,Corse a perdicuore
Giuseppe Addobbati,Watch Me When I Kill
Giuseppe Addobbati,Origins of the Mafia
Giuseppe Addobbati,Gli antenati
Giuseppe Addobbati,Härte 10
Giuseppe Addobbati,Piet
Giuseppe Addobbati,Nadine
Giuseppe Addobbati,Un certo Marconi
Giuseppe Addobbati,Enter the Devil
Giuseppe Addobbati,Chance and Violence
Giuseppe Addobbati,The Night Porter
Giuseppe Addobbati,The Last 4 Days
Giuseppe Addobbati,Baciamo le mani
Giuseppe Addobbati,The Age of the Medici
Giuseppe Addobbati,Il potere di Cosimo
Giuseppe Addobbati,Blaise Pascal
Giuseppe Addobbati,Desert of Fire
Giuseppe Addobbati,La nascita della Repubblica
Giuseppe Addobbati,Il 2 giugno
Giuseppe Addobbati,The Most Gentle Confessions
Giuseppe Addobbati,The Night of the Assassin
Giuseppe Addobbati,The Fed One
Giuseppe Addobbati,The Conformist
Giuseppe Addobbati,Red Hot Shot
Giuseppe Addobbati,One on Top of the Other
Giuseppe Addobbati,God Will Forgive My Pistol
Giuseppe Addobbati,A Bullet for Rommel
Giuseppe Addobbati,The Battle of El Alamein
Giuseppe Addobbati,Hole in the Forehead
Giuseppe Addobbati,The Killer Likes Candy
Giuseppe Addobbati,Arabella
Giuseppe Addobbati,Death Rides Along
Giuseppe Addobbati,The Stranger Returns
Giuseppe Addobbati,The Last Killer
Giuseppe Addobbati,To Commit a Murder
Giuseppe Addobbati,Massacre Time
Giuseppe Addobbati,"Kill, Baby... Kill!"
Giuseppe Addobbati,Degueyo
Giuseppe Addobbati,Colorado Charlie
Giuseppe Addobbati,Nightmare Castle
Giuseppe Addobbati,Blood for a Silver Dollar
Giuseppe Addobbati,Guns of Nevada
Giuseppe Addobbati,Ranch of the Ruthless
Giuseppe Addobbati,Sword of the Empire
Giuseppe Addobbati,I pirati della Malesia
Giuseppe Addobbati,Ride and Kill
Giuseppe Addobbati,The Monster of the Opera
Giuseppe Addobbati,Messalina vs. the Son of Hercules
Giuseppe Addobbati,Maciste in King Solomon's Mines
Giuseppe Addobbati,"Maciste, gladiatore di Sparta"
Giuseppe Addobbati,"Giacobbe, l'uomo che lottò con Dio"
Giuseppe Addobbati,Il figlio del circo
Giuseppe Addobbati,Hercules Against the Mongols
Giuseppe Addobbati,Ursus in the Land of Fire
Giuseppe Addobbati,Sword of Zorro
Giuseppe Addobbati,The Beast of Babylon Against the Son of Hercules
Giuseppe Addobbati,Implacable Three
Giuseppe Addobbati,Zorro and the Three Musketeers
Giuseppe Addobbati,Imperial Venus
Giuseppe Addobbati,Maciste contro lo sceicco
Giuseppe Addobbati,"Tharus, Son of Attila"
Giuseppe Addobbati,"Mars, God of War"
Giuseppe Addobbati,Ultimatum alla vita
Giuseppe Addobbati,Suleiman the Conqueror
Giuseppe Addobbati,Constantine and the Cross
Giuseppe Addobbati,The Sweet Life
Giuseppe Addobbati,Thundering Jets
Giuseppe Addobbati,War and Peace
Giuseppe Addobbati,The Swan
Giuseppe Addobbati,Girls of Today
Giuseppe Addobbati,Cento serenate
Giuseppe Addobbati,Town of Bells
Giuseppe Addobbati,The Island Monster
Giuseppe Addobbati,Melodie immortali - Mascagni
Giuseppe Addobbati,Stranger on the Prowl
Giuseppe Addobbati,La casa senza tempo
Giuseppe Addobbati,Tutta la città canta
Giuseppe Addobbati,Incontri di notte
Giuseppe Addobbati,L'angelo bianco
Giuseppe Addobbati,Giorno di nozze
Giuseppe Addobbati,Fedora
Giuseppe Addobbati,Alfa Tau!
Giuseppe Addobbati,Violette nei capelli
Giuseppe Addobbati,Il re d'Inghilterra non paga
Giuseppe Addobbati,Piccolo alpino
Giuseppe Addobbati,Sei bambine ed il Perseo
Giuseppe Addobbati,Le educande di Saint-Cyr
Giuseppe Addobbati,Song to the Wind
Giuseppe Addobbati,The Life of Giuseppe Verdi
Giuseppe Addobbati,Marcella
Giuseppe Addobbati,Condottieri
Giuseppe Addobbati,Queen of the Scala
Giuseppe Addobbati,Giovanni de Medici: The Leader
Giuseppe Addobbati,Tredici uomini e un cannone
Pierangelo Civera,What Every Frenchwoman Wants
Pierangelo Civera,Vatican Conspiracy
Pierangelo Civera,Improvviso
Pierangelo Civera,Orlando furioso
Pierangelo Civera,Death Smiles on a Murderer
Pierangelo Civera,The Devil's Wedding Night
Pierangelo Civera,The Grand Duel
Pierangelo Civera,"A Reason to Live, a Reason to Die"
Pierangelo Civera,Spirito Santo e le 5 magnifiche canaglie
Pierangelo Civera,Reverend's Colt
Pierangelo Civera,Ballad of Death Valley
Pierangelo Civera,Churchill's Leopards
Pierangelo Civera,Zorro's Latest Adventure
Pierangelo Civera,The Conspiracy of Torture
Pierangelo Civera,Five for Hell
Pierangelo Civera,The Battle of El Alamein
Pierangelo Civera,Kill Them All and Come Back Alone
Pierangelo Civera,Nightmare City
Pierangelo Civera,Lulù
Pierangelo Civera,From Hell to Victory
Pierangelo Civera,Brothers Till We Die
Pierangelo Civera,The Biggest Battle
Pierangelo Civera,Tre racconti di Primo Levi
Pierangelo Civera,Procacciatori d'affari
Pierangelo Civera,A Simple Heart
Pierangelo Civera,Keoma
Pierangelo Civera,Violent Naples
Pierangelo Civera,Gli ammonitori
Pierangelo Civera,L'assedio di Firenze
Pierangelo Civera,Orlando furioso
Pierangelo Civera,Mordet på Trotskij
Pierangelo Civera,The Conformist
Pierangelo Civera,Silvia
Pierangelo Civera,LSD Flesh of Devil
Pierangelo Civera,I giochi del diavolo
Pierangelo Civera,La Venere d'Ille
Pierangelo Civera,Cock Crows at Eleven
Pierangelo Civera,Due mostrine SS da Boves
Luigi Antonio Guerra,Il sergente Rompiglioni
Luigi Antonio Guerra,Burnt by a Scalding Passion
Luigi Antonio Guerra,Perché si uccidono (La merde)
Luigi Antonio Guerra,"Quant'è bella la Bernarda, tutta nera, tutta calda"
Luigi Antonio Guerra,Tiger from River Kwai
Luigi Antonio Guerra,Occhio alla vedova!
Luigi Antonio Guerra,The Peaceful Age
Luigi Antonio Guerra,Red Coat
Luigi Antonio Guerra,Seven Devils on Horseback
Luigi Antonio Guerra,"Libera, My Love"
Luigi Antonio Guerra,La sensualità è un attimo di vita
Luigi Antonio Guerra,Return of Shanghai Joe
Luigi Antonio Guerra,The Suspect
Luigi Antonio Guerra,La cognatina
Luigi Antonio Guerra,Footprints on the Moon
Luigi Antonio Guerra,"La mazurka del barone, della santa e del fico fiorone"
Luigi Antonio Guerra,The Killer Must Kill Again
Luigi Antonio Guerra,Gli assassini sono nostri ospiti
Luigi Antonio Guerra,Rabid Dogs
Luigi Antonio Guerra,Orlando furioso
Luigi Antonio Guerra,Turn the Other Cheek
Luigi Antonio Guerra,Heroes in Hell
Luigi Antonio Guerra,The Antichrist
Luigi Antonio Guerra,Zelda
Luigi Antonio Guerra,Enter the Devil
Luigi Antonio Guerra,Erotomania
Luigi Antonio Guerra,Nude for Satan
Luigi Antonio Guerra,Il tempo dell'inizio
Luigi Antonio Guerra,A Black Ribbon for Deborah
Luigi Antonio Guerra,The Murri Affair
Luigi Antonio Guerra,La pazienza ha un limite... noi no!
Luigi Antonio Guerra,La minorenne
Luigi Antonio Guerra,Street Law
Luigi Antonio Guerra,Carambola
Luigi Antonio Guerra,La svergognata
Luigi Antonio Guerra,The Prey
Luigi Antonio Guerra,Piedino il questurino
Luigi Antonio Guerra,Riot in a Women's Prison
Luigi Antonio Guerra,What Have They Done to Your Daughters?
Luigi Antonio Guerra,This Time I'll Make You Rich
Luigi Antonio Guerra,"Flavia, the Heretic"
Luigi Antonio Guerra,Il colonnello Buttiglione diventa generale
Luigi Antonio Guerra,Sesso in testa
Luigi Antonio Guerra,Processo per direttissima
Luigi Antonio Guerra,La profanazione
Luigi Antonio Guerra,The Killer Reserved Nine Seats
Luigi Antonio Guerra,Arabian Nights
Luigi Antonio Guerra,Silence the Witness
Luigi Antonio Guerra,Il romanzo di un giovane povero
Luigi Antonio Guerra,Delitto d'amore
Luigi Antonio Guerra,Catene
Luigi Antonio Guerra,Appassionata
Luigi Antonio Guerra,Pasqualino Cammarata... capitano di fregata
Luigi Antonio Guerra,Di mamma non ce n'è una sola
Luigi Antonio Guerra,The Perfume of the Lady in Black
Luigi Antonio Guerra,The Night Porter
Luigi Antonio Guerra,The Last 4 Days
Luigi Antonio Guerra,"Shoot First, Die Later"
Luigi Antonio Guerra,Innocence and Desire
Luigi Antonio Guerra,The Body
Luigi Antonio Guerra,Il bacio di una morta
Luigi Antonio Guerra,La ragazzina
Luigi Antonio Guerra,I guappi
Luigi Antonio Guerra,Cartesius
Luigi Antonio Guerra,Spasmo
Luigi Antonio Guerra,"Brigitte, Laura, Ursula, Monica, Raquel, Litz, Florinda, Barbara, Claudia, e Sofia le chiamo tutte... anima mia"
Luigi Antonio Guerra,Three Cheers for Us
Luigi Antonio Guerra,Diary of a Roman Virgin
Luigi Antonio Guerra,Put Your Devil Into My Hell
Luigi Antonio Guerra,Società a responsabilità molto limitata
Luigi Antonio Guerra,The Jack London Story
Luigi Antonio Guerra,Show all 8 episodes
Luigi Antonio Guerra,"Patroclooo!... e il soldato Camillone, grande grosso e frescone"
Luigi Antonio Guerra,Shanghai Joe
Luigi Antonio Guerra,They Still Call Me Amen
Luigi Antonio Guerra,White Fang
Luigi Antonio Guerra,The Five Days
Luigi Antonio Guerra,My Name Is Nobody
Luigi Antonio Guerra,Il brigadiere Pasquale Zagaria ama la mamma e la polizia
Luigi Antonio Guerra,Giordano Bruno
Luigi Antonio Guerra,Mean Frank and Crazy Tony
Luigi Antonio Guerra,The Great Kidnapping
Luigi Antonio Guerra,Polvere di stelle
Luigi Antonio Guerra,Story of a Cloistered Nun
Luigi Antonio Guerra,"Here We Go Again, Eh Providence?"
Luigi Antonio Guerra,Ingrid sulla strada
Luigi Antonio Guerra,Seduction
Luigi Antonio Guerra,Paolo the Hot
Luigi Antonio Guerra,Teresa the Thief
Luigi Antonio Guerra,Massacre in Rome
Luigi Antonio Guerra,My Darling Slave
Luigi Antonio Guerra,Sepolta viva
Luigi Antonio Guerra,Long Lasting Days
Luigi Antonio Guerra,The Three Musketeers of the West
Luigi Antonio Guerra,One Way
Luigi Antonio Guerra,Io e lui
Luigi Antonio Guerra,Stateline Motel
Luigi Antonio Guerra,"Un ufficiale non si arrende mai, nemmeno di fronte all'evidenza. Firmato Colonnello Buttiglione"
Luigi Antonio Guerra,Tutti figli di Mammasantissima
Luigi Antonio Guerra,Three Supermen of the West
Luigi Antonio Guerra,Ricco
Luigi Antonio Guerra,"No, the Case Is Happily Resolved"
Luigi Antonio Guerra,The Inconsolable Widow Thanks All Those Who Consoled Her
Luigi Antonio Guerra,Battle of the Amazons
Luigi Antonio Guerra,A Brief Vacation
Luigi Antonio Guerra,Property Is No Longer a Theft
Luigi Antonio Guerra,Primo tango a Roma... storia d'amore e d'alchimia
Luigi Antonio Guerra,When Love Is Lust
Luigi Antonio Guerra,Da Scaramouche or se vuoi l'assoluzione baciar devi sto... cordone!
Luigi Antonio Guerra,The Sexbury Tales
Luigi Antonio Guerra,Secrets of a Nurse
Luigi Antonio Guerra,Increase and Multiply
Luigi Antonio Guerra,Fiorina la vacca
Luigi Antonio Guerra,Lady Dynamite
Luigi Antonio Guerra,Even Angels Eat Beans
Luigi Antonio Guerra,The Black Hand
Luigi Antonio Guerra,What the Chambermaid Saw
Luigi Antonio Guerra,The Big Family
Luigi Antonio Guerra,Halleluja to Vera Cruz
Luigi Antonio Guerra,Those Dirty Dogs
Luigi Antonio Guerra,Love & Anarchy
Luigi Antonio Guerra,Gang War in Milan
Luigi Antonio Guerra,Ku Fu? From Sicily with Fury
Luigi Antonio Guerra,The Boss
Luigi Antonio Guerra,The Nun and the Devil
Luigi Antonio Guerra,"Holy God, Here Comes the Passatore!"
Luigi Antonio Guerra,Le mille e una notte... e un'altra ancora!
Luigi Antonio Guerra,Confessioni segrete di un convento di clausura
Luigi Antonio Guerra,The Lusty Wives of Canterbury
Luigi Antonio Guerra,The Grand Duel
